Day,IL6(pg/mL)
4.15957446808511,5.64179104477611
4.90425531914894,5.88059701492537
5.70212765957447,6.23880597014925
6.4468085106383,6.59701492537313
7.13829787234042,6.83582089552239
7.88297872340425,6.71641791044776
8.73404255319149,6.71641791044776
9.47872340425532,6.71641791044776
10.1170212765957,6.71641791044776
10.968085106383,6.47761194029851
11.7659574468085,6.35820895522388
12.4574468085106,6.23880597014926
13.0957446808511,6.11940298507463
13.9468085106383,6.23880597014926
14.6914893617021,6.23880597014926
15.3829787234043,6.23880597014926
16.1276595744681,6.35820895522388
16.9255319148936,6.59701492537313
17.6702127659574,6.71641791044776
18.4148936170213,6.83582089552239
19.1063829787234,6.95522388059702
