Day,IgG,IgM,IgG_25,IgG_975,IgM_25,IgM_975,IgG_STD,IgM_STD
10,9.16822222222222,3.21933333333333,0.200225,59.905875,0.1399,28.48895,22.41479056730401,7.53598143750468
16,22.8921307692308,10.2355307692308,0.277575,147.653225,0.259025,75.8195,39.40012680603457,22.691432225336293
22,31.49,12.3391267605634,1.03275,145.7035,0.383,35.96725,39.6977415993116,13.469319459878946
29,21.9178571428571,9.54328571428571,4.37745,47.45555,0.8645,20.35485,16.816269279367244,7.827439528442783
