Day,IgG,IgM
1,0,0
2,0,0
3,0,0
4,0,0
5.33333333333333,9.16822222222222,3.21933333333333
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11.3076923076923,22.8921307692308,10.2355307692308
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17.169014084507,31.49,12.3391267605634
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24.4285714285714,21.9178571428571,9.54328571428571
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
