Day,IL6(pg/mL)
4.21276595744681,9.5820895522388
5.01063829787234,10.1791044776119
5.75531914893617,10.8955223880597
6.5,11.4925373134328
7.13829787234043,12.089552238806
7.77659574468085,11.7313432835821
8.52127659574468,11.3731343283582
9.26595744680851,11.134328358209
10.1170212765957,10.7761194029851
10.8617021276596,10.8955223880597
11.7127659574468,11.2537313432836
12.4574468085106,11.4925373134328
13.0957446808511,11.7313432835821
13.8936170212766,13.1641791044776
14.6382978723404,14.5970149253731
15.3297872340426,15.7910447761194
16.1276595744681,17.2238805970149
17.563829787234,21.6417910447761
16.8191489361702,19.4925373134328
18.2021276595745,23.7910447761194
19.0531914893617,26.2985074626866
